Date,PM2.5,PM10,CO,NO2,Temperature
2024-01-01,112,194,5.949840137563593,18.2116329919022,21.38722601750331
2024-01-02,102,150,6.807887182238596,41.421251996533115,22.01556002754853
2024-01-03,24,20,0.2642195063857759,41.455102760563136,20.364436513030995
2024-01-04,116,24,5.169721277162881,44.01825433610467,21.88885921511857
2024-01-05,81,161,2.342308174459586,46.09582486504121,33.66013546832714
2024-01-06,30,122,6.487210625053553,28.010407948742202,21.42377296920458
2024-01-07,112,46,1.8262276471494154,27.568233260923982,26.379512605875227
2024-01-08,131,156,6.940283607214413,40.92328305350488,36.897506219389086
2024-01-09,84,34,3.9286799283753204,34.24837688499943,20.465438714716516
2024-01-10,97,109,9.373626888493671,36.588509476596656,36.28936965177871
2024-01-11,126,61,1.4614573470453334,40.81067012462455,25.637095495468
2024-01-12,109,143,3.4765568753975593,45.05024038179048,22.363296552433127
2024-01-13,113,198,1.223387860281832,20.209782058319114,33.934743307283014
2024-01-14,140,82,9.254466820957772,21.901232868797482,32.57885693559768
2024-01-15,62,115,8.785659598471712,9.229187292839105,37.549440270541055
2024-01-16,11,71,2.653622114380041,31.022606344827828,34.70142087607772
2024-01-17,97,115,6.633842055738373,6.617402320853394,36.06961860769697
2024-01-18,47,151,8.190499781992036,25.95191081596071,25.64069145142613
2024-01-19,139,170,5.596488034834677,29.419008561840947,23.548790875594456
2024-01-20,30,162,5.343540725724464,17.8943563457728,35.012295032817164
2024-01-21,67,190,2.4943376799144716,31.587496725605483,36.136694785345284
2024-01-22,31,48,1.0217174012784023,6.372511247257224,39.81010284001347
2024-01-23,98,55,8.982436003737934,6.6806684937146485,28.25235353822853
2024-01-24,58,32,9.014138765916972,42.01702522968462,27.440361715855666
2024-01-25,68,179,6.367704427005353,21.20857886350683,35.528259214839935
2024-01-26,24,90,3.4563949313821367,10.717723069334816,26.816070805060356
2024-01-27,60,105,3.557174788665343,28.500946702466198,38.61514651207129
2024-01-28,117,47,7.286961220815369,39.64970988943749,37.16825503686024
2024-01-29,64,85,8.981391573530512,14.711946237357942,28.579880547500366
2024-01-30,73,189,8.882155600224662,33.03007141185501,35.017421355829946
2024-01-31,140,64,7.820767903990476,8.84063592471956,35.09085748169365
